indicator,country,occupation,year,value
total employment,EL,9,2022,"286,800"
percent women,EL,9,2022,52.5%
total employment,ES,9,2022,"2,524,500"
percent women,ES,9,2022,56.9%
total employment,FI,9,2022,"193,400"
percent women,FI,9,2022,57.9%
total employment,FR,9,2022,"2,410,300"
percent women,FR,9,2022,60.5%
total employment,HR,9,2022,"137,100"
percent women,HR,9,2022,53.2%
total employment,HU,9,2022,"421,400"
percent women,HU,9,2022,52.8%
total employment,IE,9,2022,"183,600"
percent women,IE,9,2022,41.3%
total employment,IT,9,2022,"2,498,800"
percent women,IT,9,2022,44.4%
total employment,LT,9,2022,"145,200"
percent women,LT,9,2022,53.1%
total employment,LU,9,2022,"24,600"
percent women,LU,9,2022,69.3%
total employment,LV,9,2022,"107,800"
percent women,LV,9,2022,53.5%
total employment,MT,9,2022,"24,000"
percent women,MT,9,2022,39.1%
total employment,NL,9,2022,"753,200"
percent women,NL,9,2022,47.8%
total employment,PL,9,2022,"843,000"
percent women,PL,9,2022,66.6%
total employment,PT,9,2022,"420,900"
percent women,PT,9,2022,67.8%
total employment,RO,9,2022,"764,900"
percent women,RO,9,2022,38.3%
total employment,SE,9,2022,"228,400"
percent women,SE,9,2022,48.3%
total employment,SI,9,2022,"91,200"
percent women,SI,9,2022,54.5%
total employment,SK,9,2022,"147,600"
percent women,SK,9,2022,56.2%
total employment,EU,9.92,2022,"1,564,500"
percent women,EU,9.92,2022,28.5%
percent unemployed,EU,9.92,2022,9.8%
relative income,EU,9.92,2020,72.2%
total employment,AT,9.92,2022,"6,800"
total employment,BE,9.92,2022,"24,100"
percent women,BE,9.92,2022,17.6%
total employment,BG,9.92,2022,"44,800"
percent women,BG,9.92,2022,40.4%
total employment,CY,9.92,2022,"3,700"
percent women,CY,9.92,2022,18.8%
total employment,CZ,9.92,2022,"15,100"
percent women,CZ,9.92,2022,46.3%
total employment,DE,9.92,2022,"145,100"
percent women,DE,9.92,2022,25.1%
total employment,DK,9.92,2022,"22,600"
percent women,DK,9.92,2022,38.8%
total employment,EE,9.92,2022,"2,600"
percent women,EE,9.92,2022,45.5%
total employment,EL,9.92,2022,"39,200"
percent women,EL,9.92,2022,33.7%
total employment,ES,9.92,2022,"355,600"
percent women,ES,9.92,2022,20%
total employment,FI,9.92,2022,"7,900"
total employment,FR,9.92,2022,"139,500"
percent women,FR,9.92,2022,17%
total employment,HR,9.92,2022,"26,100"
percent women,HR,9.92,2022,44.4%
total employment,HU,9.92,2022,"57,800"
percent women,HU,9.92,2022,43.4%
total employment,IE,9.92,2022,"13,500"
total employment,IT,9.92,2022,"367,500"
percent women,IT,9.92,2022,25.3%
total employment,LT,9.92,2022,"13,800"
percent women,LT,9.92,2022,47.2%
total employment,LU,9.92,2022,"1,000"
total employment,LV,9.92,2022,"11,700"
total employment,NL,9.92,2022,"34,700"
percent women,NL,9.92,2022,36.7%
total employment,PL,9.92,2022,"46,700"
percent women,PL,9.92,2022,36.8%
total employment,PT,9.92,2022,"15,900"
percent women,PT,9.92,2022,47.6%
total employment,RO,9.92,2022,"147,500"
percent women,RO,9.92,2022,46%
total employment,SE,9.92,2022,"3,800"
total employment,SI,9.92,2022,"9,900"
percent women,SI,9.92,2022,52.6%
total employment,SK,9.92,2022,"7,800"
total employment,EU,9.91,2022,"6,820,400"
percent women,EU,9.91,2022,84.8%
percent unemployed,EU,9.91,2022,5.5%
relative income,EU,9.91,2020,92.4%
total employment,AT,9.91,2022,"140,300"
percent women,AT,9.91,2022,90.7%
total employment,BE,9.91,2022,"276,000"
percent women,BE,9.91,2022,83.8%
total employment,BG,9.91,2022,"65,800"
