onet_id,onet_title,ai_product_exposure_score,esco_title
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.2652854471316081,"deputy head teacher,, education administrator,, further education principal,, head of higher education institutions,, headteacher,, nursery school head teacher,, primary school head teacher,, secondary school department head,, secondary school head teacher"
11-9033.00,"Education Administrators, Postsecondary",0.2533786876984633,"curriculum administrator,, dean of faculty,, education administrator,, education programme coordinator,, further education principal,, head of higher education institutions,, university department head"
11-9039.00,"Education Administrators, All Other",0.1,arts education officer
11-9041.00,Architectural and Engineering Managers,0.33543489619218225,"architect,, aviation communications and frequency coordination manager,, aviation surveillance and code coordination manager,, construction manager,, oil and gas production manager,, project manager"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.3742793791574279,"biochemical engineer,, product development manager"
11-9051.00,Food Service Managers,0.29898242368177613,"head chef,, head sommelier,, quick service restaurant team leader,, restaurant manager,, venue director"
11-9071.00,Gambling Managers,0.2001049929363391,"betting manager,, casino gaming manager,, casino pit boss,, gambling manager,, lottery manager,, recreational facilities manager"
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.26637704775367993,"activity leader,, camping ground manager,, cultural centre director,, cultural facilities manager,, hospitality entertainment manager,, recreation policy officer,, recreational facilities manager,, sport facility manager,, sports programme coordinator,, tourist animator"
11-9081.00,Lodging Managers,0.350224358974359,"accommodation manager,, bed and breakfast operator,, camping ground manager,, hospitality revenue manager,, rooms division manager"
11-9111.00,Medical and Health Services Managers,0.34365079365079365,"elderly home manager,, healthcare institution manager,, medical practice manager"
11-9121.00,Natural Sciences Managers,0.26955051581917255,"natural resources consultant,, research and development manager,, research manager"
11-9121.01,Clinical Research Coordinators,0.23809523809523808,research manager
11-9121.02,Water Resource Specialists,0.2725695166770682,"environmental engineer,, environmental policy officer,, natural resources consultant,, water engineer"
11-9141.00,"Property, Real Estate, and Community Association Managers",0.4166388192703982,"property acquisitions manager,, real estate leasing manager,, real estate manager,, rental manager"
11-9151.00,Social and Community Service Managers,0.1766853281710112,"cultural policy officer,, enterprise development worker,, humanitarian advisor,, public housing manager,, social security administrator,, social services manager,, social work supervisor,, youth centre manager,, youth programme director"
11-9161.00,Emergency Management Directors,0.4227309998462564,"chief fire officer,, emergency response coordinator,, fire commissioner,, rescue centre manager"
11-9171.00,Funeral Home Managers,0.2558139534883721,funeral services director
11-9179.01,Fitness and Wellness Coordinators,0.24693161893629456,"spa manager,, sport facility manager"
11-9179.02,Spa Managers,0.295573460243244,"beauty salon manager,, spa manager,, sport facility manager"
11-9199.00,"Managers, All Other",0.3626694265461636,"ambassador,, animal facility manager,, clothing development manager,, clothing operations manager,, consul,, contract manager,, department manager,, elderly home manager,, food production manager,, forecast manager,, games development manager,, ICT auditor manager,, ICT business development manager,, ICT vendor relationship manager,, mine manager,, mine production manager,, product and services manager,, product manager,, publishing rights manager,, quarry manager,, railway station manager,, retail entrepreneur"
11-9199.01,Regulatory Affairs Managers,0.5,regulatory affairs manager
11-9199.02,Compliance Managers,0.39166666666666666,"director of compliance and information security in gambling,, pipeline compliance coordinator,, regulatory affairs manager"
11-9199.08,Loss Prevention Managers,0.5375757575757576,"security consultant,, security manager"
11-9199.09,Wind Energy Operations Managers,0.43243243243243246,power plant manager
11-9199.10,Wind Energy Development Managers,0.43243243243243246,power plant manager
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",0.27586206896551724,talent agent
13-1021.00,"Buyers and Purchasing Agents, Farm Products",0.394510582010582,"green coffee buyer,, purchaser,, purchasing manager,, timber trader"
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.47505943713037535,"ICT buyer,, leather raw materials purchasing manager,, procurement category specialist,, procurement support officer,, purchaser,, purchasing manager,, set buyer,, standalone public buyer"
13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.5454545454545454,"insurance claims handler,, loss adjuster"
13-1032.00,"Insurance Appraisers, Auto Damage",0.42424242424242425,loss adjuster
13-1041.00,Compliance Officers,0.39,"compliance engineer,, licensing officer"
13-1041.01,Environmental Compliance Inspectors,0.33901108269394714,"air pollution analyst,, environmental health inspector,, environmental programme coordinator,, environmental technician,, groundwater monitoring technician,, hazardous materials inspector,, hazardous waste inspector,, industrial waste inspector"
13-1041.03,Equal Opportunity Representatives and Officers,0.4888888888888889,equality and inclusion manager
13-1041.04,Government Property Inspectors and Investigators,0.29970760233918126,"building inspector,, property appraiser"
13-1041.06,Coroners,0.3684210526315789,coroner
13-1041.07,Regulatory Affairs Specialists,0.5,regulatory affairs manager
13-1041.08,Customs Brokers,0.17685185185185187,"import export specialist,, import export specialist in  fish, crustaceans and molluscs,, import export specialist in agricultural machinery and equipment,, import export specialist in agricultural raw materials, seeds and animal feeds,, import export specialist in beverages,, import export specialist in chemical products,, import export specialist in china and other glassware,, import export specialist in clothing and footwear,, import export specialist in coffee, tea, cocoa and spices,, import export specialist in computers, peripheral equipment and software,, import export specialist in dairy products and edible oils,, import export specialist in electrical household appliances,, import export specialist in electronic and telecommunications equipment,, import export specialist in flowers and plants,, import export specialist in fruit and vegetables,, import export specialist in furniture, carpets and lighting equipment,, import export specialist in hardware, plumbing and heating equipment,, import export specialist in hides, skins and leather products,, import export specialist in household goods,, import export specialist in live animals,, import export specialist in machine tools,, import export specialist in machinery, industrial equipment, ships and aircraft,, import export specialist in meat and meat products,, import export specialist in metals and metal ores,, import export specialist in mining, construction, civil engineering machinery,, import export specialist in office furniture,, import export specialist in office machinery and equipment,, import export specialist in perfume and cosmetics,, import export specialist in pharmaceutical goods,, import export specialist in sugar, chocolate and sugar confectionery,, import export specialist in textile industry machinery,, import export specialist in textiles and textile semi-finished and raw materials,, import export specialist in tobacco products,, import export specialist in waste and scrap,, import export specialist in watches and jewellery,, import export specialist in wood and construction materials"
13-1051.00,Cost Estimators,0.46126912303382894,"cost analyst,, manufacturing cost estimator,, quantity surveyor"
13-1071.00,Human Resources Specialists,0.4464956694910478,"human resources assistant,, human resources manager,, human resources officer,, recruitment consultant"
13-1075.00,Labor Relations Specialists,0.22947520225671744,"labour relations officer,, mediator,, special-interest groups' official"
13-1081.00,Logisticians,0.5075308641975309,"intermodal logistics manager,, logistics analyst,, logistics engineer"
13-1081.01,Logistics Engineers,0.5212962962962963,"logistics analyst,, logistics engineer"
13-1081.02,Logistics Analysts,0.5212962962962963,"logistics analyst,, logistics engineer"
13-1082.00,Project Management Specialists,0.489293400286944,"ICT project manager,, programme manager,, project manager,, project support officer"
13-1111.00,Management Analysts,0.41770186335403725,"business analyst,, middle office analyst"
13-1121.00,"Meeting, Convention, and Event Planners",0.29541890681003585,"event assistant,, event manager,, venue director,, wedding planner"
13-1131.00,Fundraisers,0.293343653250774,"fundraising assistant,, fundraising manager"
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.3467690480891801,"employment agent,, human resources manager,, human resources officer,, occupational analyst,, relocation officer,, social security administrator"
13-1151.00,Training and Development Specialists,0.4038598020771196,"business coach,, corporate trainer,, corporate training manager,, ICT trainer,, instructional designer"
